BillID,BookingID,vehicle_no,Refined.Maintenance
,VCV00013291/082021,TN30BB1036,817.84
,VCV00012556/082021,TN30BB0534,578.29
,VCV00012749/082021,TN11J6678,746.49
,VCV00012814/082021,TN30BC5982,1276.02
,VCV00011918/082021,TN22AR2748,1651.64
,VCV00011501/082021,TN88D8267,724.18
,VCV00012663/082021,TN25M8075,817.84
,VCV00013464/082021,TN88D4133,578.29
,VCV00012662/082021,TN88A8569,746.49
,VCV00012833/082021,TN28AQ0781,1276.02
,VCV00012823/082021,TN28AQ0975,1651.64
,VCV00013315/082021,TN18AB5514,724.18
,VCV00013137/082021,TN85B1588,817.84
,VCV00012843/082021,TN887661,578.29
,VCV00013481/082021,TN13M3641,746.49
,MVCV0001621/082021,TN30BC8362,1276.02
,VCV00013513/082021,TN85B2693,1651.64
,VCV00013323/082021,TN02AS5679,724.18
,VCV00013401/082021,TN13Q4639,817.84
,VCV00013469/082021,TN13K3588,578.29
,VCV00013471/082021,TN13K3804,746.49
,VCV00013472/082021,TN20BV6187,1376.87
,VCV00012054/082021,TN70T5805,728.32
,AEIBK2027548,TN20BV6187,749.07
,VCV00013141/082021,TN30BD0285,460.92
,VCV00012894/082021,TN88D4133,846.52
,MVCV0001595/082021,TN47AZ4165,897.23
,VCV00013425/082021,TN20BS8311,3755.55
,VCV00012758/082021,TN12C9762,1025.52
,VCV00012830/082021,TN88D3900,471.93
,VCV00013123/082021,TN88D4134,471.93
,VCV00013324/082021,KA22B0825,305.66
,VCV00013319/082021,TN70J0495,1582.15
,VCV00012151/082021,TN30BC5917,1060.03
,VCV00011976/082021,TN88A0823,1947.69
,VCV00012716/082021,TN73AB7106,643.16
,VCV00013264/082021,TN23L2017,538.19
,VCV00012741/082021,TN02AS5679,618.45
,VCV00013105/082021,TN30BB1036,1233.73
,VCV00012625/082021,TN19AM0312,1351.37
,VCV00011708/082021,TN88A6674,714.83
,VCV00013182/082021,TN60F9702,607
,MVCV0001263/082021,TN47AZ4165,452.39
,VCV00012880/082021,TN23L2017,846.52
,VCV00013069/082021,TN30BD0285,897.23
,VCV00012879/082021,TN48E1822,3755.55
,VCV00012322/082021,TN85B1588,1025.52
,VCV00012119/082021,TN88D9920,767.53
,MVCV0001535/082021,TN88C8932,463.19
,VCV00012240/082021,TN30BD0285,300
,VCV00012202/082021,TN19AL2181,1552.85
,VCV00012822/082021,TN30BC9320,1040.4
,VCV00012986/082021,KA22B0825,1911.62
,VCV00012960/082021,TN28AL5055,631.25
,AEIBK2026859,TN24X4314,528.22
,MVCV0001573/082021,KA432901,607
,VCV00012988/082021,TN52Y0785,1210.89
,AEIBK2026666,TN24R6979,1391.83
,AEIBK2027147,TN57AS7483,729.36
,VCV00012965/082021,TN60F9702,802.99
,VCV00012966/082021,TN60F8519,741.89
,VCV00012979/082021,TN283256,452.39
,VCV00012962/082021,TN38BM5947,282.17
,VCV00011598/082021,TN88A4980,299.07
,VCV00011079/082021,TN88D2104,490.24
,VCV00012896/082021,TN38BM5947,1261
,VCV00011590/082021,TN23L2017,1620.31
,VCV00012862/082021,TN18m5881,1057.19
,VCV00011992/082021,TN18s3838,1355.07
,VCV00011993/082021,TN18m5881,1916.6
,VCV00012731/082021,TN887661,564.82
,VCV00011947/082021,TN12AB9253,633.47
,VCV00012831/082021,TN88D4134,1366.52
,VCV00012383/082021,TN28AQ0781,722.17
,VCV00012807/082021,TN88D4133,795.74
,VCV00011952/082021,TN13M3641,789.43
,VCV00012788/082021,TN88D4134,454.96
,VCV00012535/082021,TN88D3900,337.59
,VCV00012735/082021,TN18AB5514,256.35
,VCV00012771/082021,TN30BB1036,420.2
,VCV00012401/082021,TN28AQ0975,1081.58
,VCV00012040/082021,TN30BC9320,464.43
,VCV00011231/082021,TN88C8204,359.27
,VCV00011946/082021,TN30BC5982,1635.75
,AEIBK2026835,TN28AP6935,1068.78
,MVCV0001533/082021,TN88C8932,1417.29
,VCV00011949/082021,TN887661,1899.25
,VCV00011706/082021,TN11J6678,440.31
,VCV00011961/082021,TN12C9762,635.05
,VCV00012061/082021,TN88C8632,1162.81
,VCV00012523/082021,TN02AS5679,606.28
,VCV00012197/082021,TN88D4134,665.74
,VCV00011608/082021,TN88A8569,638.51
,VCV00012389/082021,TN88D4133,367.98
,AEIBK2026897,KA51C6972,295.39
,VCV00011331/082021,TN02AP2662,323.36
,VCV00012216/082021,TN19AM0312,440.35
,AEIBK2026778,KA590408,946.38
,AEIBK2026277,KA51C6972,395.05
,VCV00012057/082021,TN23AZ8289,311.26
,VCV00011656/082021,TN30BB0534,1368.63
,MVCV0001108/082021,TN24P7916,869.21
,VCV00011943/082021,TN88D3900,1148.01
,VCV00011469/082021,TN30BB1036,510.34
,VCV00012358/082021,TN60F9702,538.72
,VCV00012359/082021,TN60F8519,263.13
,VCV00012370/082021,TN28AL5055,1220.22
,VCV00012397/082021,TN24AE6396,881.95
,VCV00012387/082021,TN283256,896.56
,VCV00009430/082021,TN11AB2839,390.12
,VCV00012381/082021,TN52Y0785,387.92
,VCV00012385/082021,KA22B0825,325.27
,VCV00011958/082021,TN28AQ0975,791.48
,VCV00011694/082021,TN28AQ0781,929.45
,VCV00011761/082021,TN02AS5679,420.14
,VCV00011829/082021,TN25M8075,1327.42
,VCV00011486/082021,TN30BJ0957,2095.77
,MVCV0001434/082021,KA432901,1725.49
,MVCV0001429/082021,KA27A4080,759.18
,AEIBK2027172,TN18AJ1390,844.54
,VCV00012212/082021,TN24AE6396,558.39
,AEIBK2027171,TN40J2380,541.76
,VCV00012209/082021,TN70J0495,679.94
,VCV00012196/082021,KA22B0825,1599.52
,VCV00011485/082021,TN85B2698,337.99
,VCV00011488/082021,TN19AL2181,1590.62
,VCV00012153/082021,TN28AL5055,1170.86
,VCV00012121/082021,TN28AL5055,507.47
,VCV00012144/082021,TN60F8519,514.29
,VCV00011607/082021,HR47C3126,419.42
,VCV00011475/082021,AP39TJ1844,1065.58
,VCV00011657/082021,TN30BC5917,1280.74
,VCV00012024/082021,TN88D4133,541.76
,VCV00011115/082021,TN23AZ8289,1295.43
,VCV00011735/082021,TN30BC9320,1697.17
,VCV00010240/082021,TN70T5805,739.71
,VCV00011565/082021,TN30BF9653,834.27
,VCV00011540/082021,TN48E1822,580.05
,VCV00011087/082021,TN88A0823,795.21
,VCV00011614/082021,TN12C9762,1579.02
,VCV00011506/082021,TN28AQ0975,329.33
,VCV00011948/082021,TN88D4134,1583.05
,VCV00011942/082021,TN18AB5514,1159.98
,VCV00011819/082021,TN13Q4639,1140.83
,VCV00011928/082021,TN73AB7106,494.46
,VCV00011305/082021,TN13M3641,501.11
,VCV00011632/082021,TN887661,411.75
,VCV00011542/082021,TN88D4134,1061.62
,VCV00011498/082021,TN30BC5982,1290.98
,VCV00011513/082021,TN18AB5514,534.02
,VCV00011555/082021,TN88D3900,1271.29
,AEIBK2026423,TN83Q3845,1678.51
,VCV00010403/082021,TN88A6656,732.22
,VCV00009362/082021,TN88D1544,843.27
,VCV00011934/082021,TN88D4133,587.82
,VCV00011670/082021,TN88D4133,682.24
,VCV00011723/082021,TN73AB7106,1539.54
,VCV00011712/082021,TN88B2414,328.45
,VCV00011306/082021,TN30BC9320,1518.74
,VCV00011456/082021,TN12AB9253,1140.42
,VCV00011673/082021,TN11J6678,1135.66
,VCV00011284/082021,TN68F1722,482.1
,VCV00010453/082021,TN22AR2748,1071.28
,VCV00011649/082021,KA22B0825,1271.2
,VCV00011515/082021,TN73AB7106,520.67
,VCV00011635/082021,TN283256,1338.03
,VCV00010882/082021,TN30BC5917,1661.77
,AEIBK2026830,KA51D3946,727.42
,VCV00011601/082021,TN52Y0785,616.04
,VCV00011597/082021,TN283256,759.76
,VCV00011604/082021,TN20BV6187,670.48
,VCV00011610/082021,TN13K3588,1502.97
,VCV00011611/082021,TN13K3804,321.18
,VCV00011309/082021,TN887661,1493.38
,VCV00011095/082021,TN88A8569,1150.77
,VCV00010798/082021,TN30BB0534,472.29
,VCV00010100/082021,TN23L2017,396.05
,VCV00011094/082021,TN88D1410,625.89
,VCV00011308/082021,TN11J6678,1046.83
,VCV00011520/082021,TN88D4133,1273.16
,AEIBK2026392,TN59CE2657,523.43
,VCV00011084/082021,TN88D3900,1317.23
,VCV00011539/082021,TN20BS8311,1622.2
,VCV00010836/082021,TN88D8267,803.11
,VCV00011307/082021,TN28AQ0975,841.44
,MVCV0001298/082021,KA27A4080,742.39
,VCV00011090/082021,TN12AC0599,657.37
,VCV00011091/082021,TN19AL2181,1478.44
,AEIBK2026883,TN73F4927,313.53
,AEIBK2026889,KA409852,1046.54
,VCV00011065/082021,TN30BB1036,1153.13
,AEIBK2026570,TN70T5805,1127.4
,AEIBK2027146,TN40M8575,462.47
,VCV00010889/082021,TN12AB9253,493.04
,AEIBK2026874,TN52J1622,405.27
,VCV00010911/082021,TN11S1459,1252.98
,VCV00010800/082021,TN30BD0285,1326.26
,VCV00011295/082021,TN25M8075,1140.42
,VCV00011266/082021,TN18AB5514,1135.66
,VCV00011334/082021,TN18s3838,401.45
,VCV00011335/082021,TN18M5881,1071.28
,VCV00011325/082021,TN18s3838,1271.2
,VCV00011326/082021,TN18M5881,520.67
,VCV00010949/082021,tn02ap2662,1338.03
,VCV00010590/082021,TN18s3838,1661.77
,VCV00011113/082021,TN23AA5466,727.42
,VCV00011052/082021,TN887661,822.7
,VCV00010426/082021,TN30BF9653,759.76
,VCV00011262/082021,TN13M3641,670.48
,VCV00011273/082021,TN02AS5679,1502.97
,VCV00011287/082021,TN73AB7106,321.18
,VCV00008377/082021,TN22BE9497,1493.38
,AEIBK2026052,KA01AG0996,1157.08
,AEIBK2025996,TN60X3147,1150.77
,AEIBK2026271,KA51D0830,472.29
,VCV00011265/082021,TN31CA2511,505.07
,VCV00009193/082021,TN24AC3721,396.05
,VCV00009577/082021,TN68F1722,1046.83
,VCV00011197/082021,TN25M8075,523.43
,VCV00010851/082021,TN19AH6070,742.39
,VCV00011230/082021,TN73AB7106,1478.44
,VCV00011147/082021,TN18AB5514,313.53
,VCV00009810/082021,TN88C8204,1046.54
,VCV00010980/082021,TN73AB7106,1153.13
,VCV00011006/082021,TN02AS5679,1127.4
,VCV00011096/082021,TN13M3641,493.04
,AEIBK2026475,NL01AA0415,405.27
,MVCV0000961/082021,KA432901,1252.98
,VCV00010978/082021,TN18AB5514,510.97
,VCV00010981/082021,TN13Q4639,1326.26
,VCV00009622/082021,TN88A0823,1606.92
,VCV00010946/082021,TN88D3900,729.16
,VCV00010987/082021,TN30BC9320,791.4
,VCV00010140/082021,TN88D2104,592.26
,VCV00011069/082021,TN25M8075,750.13
,VCV00010813/082021,TN30BB1036,646.04
,VCV00009790/082021,TN48E1822,1444.06
,VCV00010477/082021,TN88A4980,306.24
,VCV00011029/082021,TN13E5179,1044.92
,VCV00010071/082021,TN887661,1141.92
,VCV00010944/082021,TN30BC9252,1140.86
,VCV00010894/082021,TN28AQ0975,473.38
,VCV00010871/082021,TN30BC5982,491.74
,AEIBK2026249,TN28AP6935,724.18
,VCV00010454/082021,TN13M3641,817.84
,VCV00010478/082021,TN12C9762,578.29
,AEIBK2025631,KA51D3946,746.49
,VCV00010897/082021,TN02AS5679,1276.02
,VCV00010815/082021,TN88D4134,1651.64
,VCV00010716/082021,TN30BC9320,724.18
,VCV00010245/082021,TN73AB7106,817.84
,VCV00010720/082021,TN88D4133,578.29
,VCV00010820/082021,TN13Q4639,746.49
,VCV00010797/082021,TN02AP2662,1276.02
,VCV00010322/082021,TN23AA5466,1651.64
,VCV00010369/082021,TN12AC0599,724.18
,VCV00010440/082021,TN11J6678,817.84
,VCV00009680/082021,TN88A8569,578.29
,VCV00010416/082021,TN19AL2181,746.49
,VCV00010427/082021,TN85B2685,1276.02
,VCV00010321/082021,TN23AZ8289,1651.64
,VCV00010475/082021,TN88D3900,724.18
,VCV00010232/082021,TN73F4927,817.84
,VCV00010890/082021,TN20BS8311,578.29
,VCV00009592/082021,TN19AM0312,746.49
,VCV00010529/082021,TN28AQ0975,1276.02
,VCV00009723/082021,TN12AB9253,1651.64
,VCV00009862/082021,TN30BC5917,724.18
,MVCV0001226/082021,TN21R2077,460.92
,VCV00010845/082021,TN70J0495,846.52
,MVCV0000960/082021,TN21M2911,897.23
,VCV00010818/082021,TN52Y0785,3755.55
,VCV00010707/082021,TN60F0658,1025.52
,VCV00009990/082021,TN30BD0285,471.93
,VCV00010081/082021,TN02AP2662,471.93
,VCV00010129/082021,TN30BB0534,305.66
,VCV00010482/082021,TN30BB1036,1582.15
,VCV00010705/082021,TN28AL5055,1060.03
,VCV00009648/082021,tn19ah6070,1947.69
,VCV00010768/082021,TN70J0495,538.19
,VCV00010423/082021,TN02AS5679,618.45
,VCV00010366/082021,TN25M8075,1233.73
,VCV00007656/082021,TN11Z7473,714.83
,VCV00010587/082021,TN04AE6148,607
,AEIBK2026436,KA409852,452.39
,VCV00010076/082021,TN85B1588,846.52
,VCV00010709/082021,TN38BM5947,897.23
,VCV00010448/082021,TN30BC9320,3755.55
,MVCV0001094/082021,KA27A4080,1025.52
,VCV00010014/082021,TN23AA5466,767.53
,VCV00010572/082021,TN18m5881,463.19
,VCV00009694/082021,TN18m5881,300
,VCV00009695/082021,TN18s3838,1552.85
,VCV00010167/082021,TN28AQ0975,1911.62
,VCV00010490/082021,TN88A8905,631.25
,VCV00010469/082021,TN18AB5514,607
,VCV00010472/082021,TN51T7528,1210.89
,VCV00010473/082021,TN88D4133,1391.83
,VCV00010395/082021,TN13Q4639,802.99
,VCV00010449/082021,TN88D4134,741.89
,VCV00010035/082021,TN30BB1036,452.39
,VCV00009659/082021,TN12C9762,282.17
,VCV00009658/082021,TN88A4980,299.07
,VCV00010436/082021,TN88D3900,490.24
,VCV00010437/082021,TN88D4133,1261
,VCV00010243/082021,TN18AB5514,472.9
,VCV00009560/082021,TN22AR2748,1620.31
,VCV00010009/082021,TN30BC9320,1057.19
,VCV00010362/082021,TN88D4134,1355.07
,MVCV0001098/082021,KA14A0338,1916.6
,VCV00009042/082021,TN88A6656,564.82
,VCV00010078/082021,TN13M3641,619.48
,VCV00008910/082021,TN19AL2181,633.47
,VCV00010357/082021,TN88D4134,1366.52
,VCV00009940/082021,TN02AS5679,722.17
,AEIBK2026676,TN13K3804,1271.29
,VCV00010297/082021,TN60F8519,1678.51
,VCV00010300/082021,TN60F9702,732.22
,VCV00009757/082021,TN23AZ8289,843.27
,AEIBK2025860,KA21A6905,587.82
,VCV00006898/082021,TN11J6678,778.33
,VCV00009728/082021,TN88D3900,1539.54
,AEIBK2026663,TN13K3588,328.45
,MVCV0001096/082021,TN21R2077,482.1
,VCV00010173/082021,TN73AB7106,488.52
,VCV00010214/082021,TN24AE6396,401.45
,VCV00010216/082021,TN70J0495,1071.28
,VCV00010203/082021,KA22B0825,1271.2
,VCV00008832/082021,TN73F4927,520.67
,VCV00008504/082021,TN70T5805,1338.03
,VCV00010187/082021,TN28AL5055,1661.77
,VCV00009679/082021,TN28AQ0975,727.42
,VCV00009034/082021,KA51C6972,822.7
,VCV00010095/082021,KA51C1177,616.04
,VCV00010097/082021,TN38BM5947,759.76
,VCV00010102/082021,TN24AE6396,670.48
,VCV00010029/082021,TN85B2698,1502.97
,VCV00009664/082021,TN13M3641,321.18
,VCV00009368/082021,TN51T7528,1493.38
,VCV00009207/082021,TN12A4168,1157.08
,VCV00009657/082021,TN30BB1036,1150.77
,VCV00009729/082021,TN23AA5466,472.29
,VCV00009647/082021,TN30BB0534,505.07
,VCV00008961/082021,AP39TJ1844,396.05
,VCV00009279/082021,TN85B2693,625.89
,VCV00009018/082021,TN85B1588,1046.83
,VCV00008766/082021,TN88D2104,1273.16
,VCV00009678/082021,TN887661,523.43
,VCV00009731/082021,TN23L2017,1317.23
,VCV00009851/082021,TN283256,1622.2
,AEIBK2026421,TN11AR6457,746.52
,VCV00009631/082021,TN30BC9320,803.11
,VCV00008379/082021,TN88D8267,841.44
,VCV00009858/082021,TN52Y0785,742.39
,VCV00009846/082021,KA22B0825,657.37
,AEIBK2026544,TN29BL4101,1478.44
,VCV00009801/082021,TN60F8519,313.53
,VCV00009807/082021,TN38BM5947,1472.7
,VCV00008967/082021,TN30BC5917,1046.54
,AEIBK2026547,TN70AD7646,1153.13
,VCV00009629/082021,TN88C8204,1127.4
,VCV00009745/082021,TN88D4133,462.47
,AEIBK2026567,TN24AJ3359,493.04
,VCV00009619/082021,TN88D3900,405.27
,VCV00007700/082021,TN23L2017,1252.98
,VCV00009700/082021,TN20AL7839,510.97
,VCV00009014/082021,TN23AZ8289,1326.26
,MVCV0001061/082021,KA27A4080,1606.92
,MVCV0001054/082021,TN21R2077,729.16
,MVCV0000975/082021,TN24P7916,791.4
,VCV00008759/082021,TN18m5881,592.26
,VCV00008760/082021,TN18s3838,750.13
,VCV00008068/082021,TN88A8569,1444.06
,VCV00009065/082021,TN28AQ0975,306.24
,VCV00009327/082021,TN887661,1446.94
,VCV00009642/082021,TN30BD0285,1044.92
,VCV00009663/082021,TN13Q4639,1140.86
,VCV00009650/082021,TN25M8075,473.38
,VCV00009535/082021,TN02AS5679,491.74
,VCV00009646/082021,TN88D4133,435.52
,VCV00008771/082021,TN12C9762,1316.46
,VCV00008985/082021,TN30BB1036,500.14
,VCV00008654/082021,TN88A4980,1299.63
,VCV00009457/082021,TN88D4134,720.2
,VCV00008625/082021,TN30BD0285,792.85
,VCV00009020/082021,TN30BC9320,578.8
,VCV00006774/082021,TN88C8204,758.91
,VCV00008061/082021,TN88A0823,304.43
,VCV00008837/082021,TN88D3900,1447.29
,VCV00008054/082021,TN19AH6070,1048.04
,VCV00008334/082021,TN19AM0312,1115.97
,VCV00008659/082021,TN19P6478,497.9
,VCV00009079/082021,TN88D4133,453.59
,VCV00009316/082021,TN73AB7106,1308.25
,VCV00009106/082021,TN18AB5514,488.77
,VCV00008523/082021,TN30BC5982,1276.02
,VCV00009180/082021,KA22B0825,1651.64
,VCV00007982/082021,TN68F1722,724.18
,VCV00008455/082021,TN88A8905,817.84
,VCV00007914/082021,TN88D1544,578.29
,VCV00008793/082021,TN887661,746.49
,VCV00008396/082021,TN12K5044,314.86
,VCV00009170/082021,TN28AL5055,1645.48
,VCV00007443/082021,TN88A6980,1048.79
,VCV00009136/082021,TN20BS8311,1094.15
,VCV00008520/082021,TN30BB0534,501.24
,VCV00009087/082021,TN18AB5514,450.26
,VCV00008988/082021,TN02AS5679,1280.16
,VCV00009082/082021,TN52Y0785,479.91
,VCV00009062/082021,TN28AL5055,1335.11
,VCV00009070/082021,KA22B0825,1799.96
,VCV00009073/082021,TN70J0495,728.93
,VCV00008876/082021,TN88D4134,800.06
,VCV00008732/082021,TN28AQ0975,1271.29
,VCV00008669/082021,TN30BJ0957,1678.51
,VCV00008953/082021,TN60F9702,732.22
,VCV00008960/082021,TN28AL5055,843.27
,VCV00008979/082021,TN283256,587.82
,VCV00008855/082021,TN30BB1036,778.33
,VCV00008955/082021,TN60F8519,682.24
,VCV00008517/082021,TN88C8932,1539.54
,VCV00007987/082021,TN25M8075,328.45
,VCV00008540/082021,TN73AB7106,1518.74
,VCV00008582/082021,TN02AS5679,1140.42
,VCV00008799/082021,TN88D4133,482.1
,VCV00008895/082021,TN889013,401.45
,VCV00008868/082021,TN88C8632,1071.28
,VCV00008405/082021,TN30BC5917,1271.2
,AEIBK2024827,TN58AQ5862,520.67
,VCV00008136/082021,TN12AB9253,1338.03
,MVCV0000704/082021,TN21R2077,1661.77
,VCV00008350/082021,TN30BB1036,822.7
,VCV00006504/082021,KA51C6972,616.04
,VCV00006725/082021,TN73F4927,759.76
,VCV00008531/082021,TN88D3900,670.48
,VCV00008777/082021,TN60F8519,321.18
,VCV00008782/082021,KA22B0825,1493.38
,VCV00008507/082021,TN887661,1157.08
,VCV00008775/082021,TN28AL5055,1150.77
,VCV00008658/082021,TN12C9762,472.29
,AEIBK2026042,TN59CE2657,505.07
,VCV00007734/082021,TN88D2104,396.05
,VCV00008125/082021,TN18m5881,625.89
,VCV00008126/082021,TN18s3838,1046.83
,VCV00008371/082021,TN28AQ0975,1317.23
,AEIBK2026298,TN55AA0571,1622.2
,VCV00008633/082021,TN88D4133,746.52
,MVCV0000759/082021,KA51A7682,803.11
,MVCV0000761/082021,TN24AS9634,841.44
,MVCV0000786/082021,TN58J2369,742.39
,VCV00008067/082021,TN13M3641,1478.44
,VCV00008341/082021,TN88A4980,313.53
,VCV00008634/082021,TN20S2311,1472.7
,VCV00008525/082021,TN88D4134,1153.13
,VCV00007972/082021,TN30BD0285,1127.4
,VCV00007986/082021,TN02AS5679,462.47
,VCV00008510/082021,TN20BV6187,493.04
,AEIBK2025511,TN55AA0571,405.27
